734854   , newssdk  , 20180302  , 14
 36       ,          , 20180302  , 15
 1491389  , newssdk  , 20180302  , 8
 23       ,          , 20180302  , 9
 3756566  , news     , 20180302  , 17
 701422   , newssdk  , 20180302  , 15
 62       ,          , 20180302  , 16
 677079   , newssdk  , 20180302  , 9
 3        , n        , 20180302  , 13
 1468658  , newssdk  , 20180302  , 16
 105      ,          , 20180302  , 17
 6        , tv       , 20180302  , 10
 1        , ne       , 20180302  , 17
 2098622  , newssdk  , 20180302  , 17
 1        , n        , 20180302  , 8
 30       , tv       , 20180302  , 11
 1        , n        , 20180302  , 15
 10       , tv       , 20180302  , 12
 2        , tv       , 20180302  , 13
 1        , tv       , 20180302  , 14
 1        , wapnews  , 20180302  , 13
 1        , tv       , 20180302  , 9
 1        , wapnews  , 20180302  , 8
 1768778  , news     , 20180302  , 0
 1        , wapnews  , 20180302  , 15
 1        , tv       , 20180302  , 17
 1092562  , news     , 20180302  , 1
 40       ,          , 20180302  , 0
 745871   , news     , 20180302  , 2
 522091   , newssdk  , 20180302  , 0
 26       ,          , 20180302  , 1
 686510   , news     , 20180302  , 3
 336931   , newssdk  , 20180302  , 1
 9        ,          , 20180302  , 2
 2343452  , news     , 20180302  , 10
 792384   , news     , 20180302  , 4
 241190   , newssdk  , 20180302  , 2
 17       ,          , 20180302  , 3
 2436235  , news     , 20180302  , 11
 59       ,          , 20180302  , 10
 1109935  , news     , 20180302  , 5
 1        , new      , 20180302  , 13
 211042   , newssdk  , 20180302  , 3
 3        ,          , 20180302  , 4
 2507253  , news     , 20180302  , 12
 485209   , newssdk  , 20180302  , 10
 14       ,          , 20180302  , 11
 2348400  , news     , 20180302  , 6
 210228   , newssdk  , 20180302  , 4
 5        ,          , 20180302  , 5
 2549141  , news     , 20180302  , 13
 1        , new      , 20180302  , 8
 1148505  , newssdk  , 20180302  , 11
 35       ,          , 20180302  , 12
 3577427  , news     , 20180302  , 7
 194263   , newssdk  , 20180302  , 5
 24       ,          , 20180302  , 6
 2455505  , news     , 20180302  , 14
 1222629  , newssdk  , 20180302  , 12
 41       ,          , 20180302  , 13
 3717763  , news     , 20180302  , 8
 447872   , newssdk  , 20180302  , 6
 5        ,          , 20180302  , 7
 1        , n        , 20180302  , 10
 2869897  , news     , 20180302  , 15
 978670   , newssdk  , 20180302  , 13
 26       ,          , 20180302  , 14
 2059727  , news     , 20180302  , 9
 870959   , newssdk  , 20180302  , 7
 73       ,          , 20180302  , 8
 3074602  , news     , 20180302  , 16
